"","variable","p_value"
"1","gamma-Glu-Cys",NA
"2","gamma-Glu-2-aminobutyric acid",NA
"3","gamma-Butyrobetaine",NA
"4","beta-Ala",NA
"5","Xanthosine",NA
"6","Xanthopterin",NA
"7","Xanthine",NA
"8","Val",NA
"9","UTP",NA
"10","Urocanic acid",NA
"11","Uridine",NA
"12","Uric acid",NA
"13","Urea",NA
"14","Uracil",NA
"15","UMP",NA
"16","UDP-N-acetylglucosamine",NA
"17","UDP-glucuronic acid",NA
"18","UDP-glucose ; UDP-galactose",NA
"19","UDP",NA
"20","Tyr-Glu",NA
"21","Tyramine",NA
"22","Tyr",NA
"23","Trp",NA
"24","Trimethylamine N-oxide",NA
"25","Trigonelline",NA
"26","Triethanolamine",NA
"27","Trehalose 6-phosphate",NA
"28","trans-Glutaconic acid ; Itaconic acid",NA
"29","threo-beta-Methylaspartic acid",NA
"30","Threonic acid",NA
"31","Thr-Asp",NA
"32","Thr",NA
"33","Thiaproline",NA
"34","Thiamine phosphate",NA
"35","Thiamine",NA
"36","Theobromine",NA
"37","Taurocholic acid",NA
"38","Taurine",NA
"39","Succinic acid",NA
"40","Suberic acid",NA
"41","Stachydrine",NA
"42","Spermine",NA
"43","Spermidine",NA
"44","Sorbitol 6-phosphate",NA
"45","S-Nitrosoglutathione",NA
"46","S-Methylmethionine",NA
"47","S-Lactoylglutathione",NA
"48","Serotonin",NA
"49","Ser-Glu",NA
"50","Ser",NA
"51","Sedoheptulose 7-phosphate",NA
"52","SDMA",NA
"53","Sarcosine",NA
"54","S-Adenosylmethionine",NA
"55","S-Adenosylhomocysteine",NA
"56","Saccharopine",NA
"57","Ribulose 5-phosphate",NA
"58","Ribulose 1,5-diphosphate",NA
"59","Ribose 5-phosphate",NA
"60","Rhein",NA
"61","Quinolinic acid",NA
"62","Pyruvic acid",NA
"63","Pyridoxamine 5'-phosphate",NA
"64","Pyridoxal",NA
"65","Pyridine-2-carboxylic acid butyl ester",NA
"66","Putrescine",NA
"67","Pterin",NA
"68","Propionyl CoA_divalent",NA
"69","Propionic acid",NA
"70","Pro",NA
"71","p-Nitrophenyl phosphate",NA
"72","Pipecolic acid",NA
"73","Pimelic acid",NA
"74","Phosphorylcholine",NA
"75","Phosphoenolpyruvic acid",NA
"76","Phosphocreatine",NA
"77","Phenaceturic acid",NA
"78","Phe",NA
"79","Pelargonic acid",NA
"80","Pantothenic acid",NA
"81","Oxypurinol",NA
"82","O-Succinylhomoserine",NA
"83","Ornithine",NA
"84","Ophthalmic acid",NA
"85","Octanoyl CoA_divalent",NA
"86","O-Acetylcarnitine",NA
"87","omega-N-Methylarginine",NA
"88","N-Methylproline",NA
